rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,fip,siera,xera,stuff_plus,location_plus,pitching_plus,pitcher_k_pct,pitcher_contact_pct,z_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,swstr_pct,csw_pct,o_swing_pct,strike_pct,f_strike_pct,zone_pct,pitches,strikes,stuff_ceiling_bump,stuff_ceiling_note,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,last3_ks_adj,last3_k9_adj,last3_opp_k_pct,form_opp_factor,form_opp_note,form_ks,form_weight,lineup_k_pct,lineup_k_pct_vs_lhp,lineup_k_pct_vs_rhp,lineup_k_pct_vs_hand,lineup_k_vs_hand_side,lineup_k_vs_hand_pa,lineup_k_vs_hand_n,lineup_k_vs_hand_source,lineup_avg,lineup_bb_pct,lineup_bip_pct,lineup_woba,lineup_wrc_plus,lineup_iso,lineup_quality_n,lineup_quality_source,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,xba,xslg,xwoba,ba_against,slg_against,woba_against,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,k_dist_mean,k_dist_sd,k_p10,k_p50,k_p90,k_p_ge_8,k_p_ge_9,k_p_ge_10,k_p_over,k_p_under,k_dist_n_pa,k_dist_shape,k_rate_pct,k_volume_bf,expected_ks_rate_x_bf,k_volume_share_note,book_model_note
1,Hunter Dobbins,690928,STL,R,CHC,STL@CHC,2:15 PM CT,2026-08-16T19:15:00Z,ok,official,6.964241340782123,30,3.3333333333333335,season_start_est,starter,25.38011115709443,25.316730555840188,7.034671039131207,7.648975314609054,2.2842100041384987,9,9,1.0,30,,30,3.4000000720553945,1.2000000254313157,8.400000178019209,4.033901661585561,4.216416700857658,4.063828414898555,3.81,96.99114659392993,100.88841599548532,97.18297623349683,21.989529,79.65616,86.79245300000001,44.6153846,35.3846153,8.6956521,13.076922999999999,9.366755,25.329815,30.786517000000003,62.13720316622691,59.685864,41.292876,758.0,471.0,0.0,,balanced,,low,elev_hr,1.0,,5.0,7.788461538461539,5.777777777777778,4.647029404409636,7.2386419568688565,24.20901401941788,0.9294058808819272,L3 opp K% 24.2,5.601294396349566,0.3,23.18435754189944,22.65193370165746,22.08955223880597,22.08955223880597,R,2680.0,9,season_vs_rhp,0.2496829605570696,8.938547486033519,65.92178770949721,0.33655736247382256,113.89208000669059,0.1815826825033186,9,fangraphs,neutral,recent,1.0132234689827204,neutral,0.9942530726256983,0.9948916201117318,mild,443,315,"691718,673548,608324,664023,663538,699393,621020,624424,665804",Pete Crow-Armstrong; Seiya Suzuki; Alex Bregman; Ian Happ; Nico Hoerner; Pedro Ramírez; Dansby Swanson; Michael Conforto; Miguel Amaya,,23.206110269927827,94.85349794238684,FF,avg,False,,savant+statcast,0.239,0.363,0.302,0.244,0.395,0.317,False,,5,0.8666666666666667,elite,elite,2.8801111570944293,3.2905589182884576,,"arsenal K% 25.4 (elite solo, +2.9 vs lg, +3.3 vs opp K%, opp K% vs RHP 22.1; slate #5/30 elite); stuff whiff 23.2% (avg), FF 94.9 mph; total caution — Exp K 7.0 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,2.0,8.0,39.0,1.0,2.0,11.0,.289,.808,20.512820512820515,2,8,4.0,0,0,,2026-07-27 H: 5.1IP 4K; 2026-05-31 H: 3.2IP 4K,7.035,2.27,4.0,7.0,10.0,0.406,0.253,0.139,,,30,heavy_right_tail,25.38,30,7.614,rate×BF 7.61 vs Exp 7.03 (order-walk + overlays; not pitcher season K% alone),"No book K line — ask why the pitcher can reach the model total (7.0 Exp) via PA matchups + volume, not season K% alone."
2,Noah Cameron,702070,KC,L,LAA,KC@LAA,3:07 PM CT,2026-08-16T20:07:00Z,ok,official,5.833333333333334,25,2.7777777777777777,season_start_est,starter,26.639284827970936,29.04586276202724,6.626274886938946,7.259932754887824,2.397535634517384,9,9,1.0,25,,25,2.922680527310736,0.974226842436912,8.211340529111116,4.00303341229125,3.7093720279295885,4.13699366859806,4.41,96.88559109026387,104.83753415046213,103.9717367857736,21.415608,76.388889,86.68885200000001,38.6842105,38.1578947,9.655172400000001,15.463918,11.085235,26.362365999999998,31.74727,62.83185840707964,59.709619,40.288775,2147.0,1349.0,0.0,,balanced,,clear,,1.0,,6.0,7.476923076923076,7.222222222222222,6.373392209754632,7.942227215232696,21.181812692051054,1.0622320349591055,L3 opp K% 21.2,5.147739861724896,0.3,30.625,26.37853949329359,26.745495495495497,26.37853949329359,L,671.0,8,season_vs_lhp,0.2056811317999104,6.875,60.9375,0.31429810817268056,99.47076215465762,0.1580842080668016,9,fangraphs,whiff_prone,recent,1.07,free_swing,1.0114,1.0,low,538,1609,"687263,545361,687093,642350,685133,694203,672724,518595,666139",Zach Neto; Mike Trout; Vaughn Grissom; Jose Siri; Wade Meckler; Denzer Guzman; Oswald Peraza; Travis d'Arnaud; Josh Lowe,,26.383559650824438,92.52576576576575,FF,strong,False,,savant,0.258,0.424,0.323,0.251,0.406,0.313,False,,3,0.9333333333333333,elite,elite,4.139284827970936,0.2607453346773454,,"arsenal K% 26.6 (elite solo, +4.1 vs lg, +0.3 vs opp K%, opp K% vs LHP 26.4; slate #3/30 elite); stuff whiff 26.4% (strong), FF 92.5 mph; total caution — Exp K 6.6 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,2.0,11.0,50.0,8.0,1.0,13.0,.310,.872,22.0,2,11,5.5,0,0,,2026-04-24 H: 6.1IP 6K; 2025-09-04 H: 5.0IP 5K,6.626,2.154,4.0,7.0,9.0,0.333,0.19,0.094,,,25,heavy_right_tail,26.64,25,6.66,rate×BF 6.66 vs Exp 6.63 (order-walk + overlays; not pitcher season K% alone),"No book K line — ask why the pitcher can reach the model total (6.6 Exp) via PA matchups + volume, not season K% alone."
3,Dylan Cease,656302,TOR,R,NYY,NYY@TOR,12:37 PM CT,2026-08-16T17:37:00Z,ok,official,5.576220966183576,22,2.4444444444444446,season_avg,starter,25.22491259965766,28.651983677832575,6.38689469306423,5.704008239489778,2.2702421339691896,9,9,1.0,22,,22,3.8375636003973947,0.6167512929210098,13.088832994212542,2.6773256044439284,2.413032556134886,2.9508330596209174,2.74,106.86142091152813,98.46202859696162,105.64403038427167,36.10586,68.21256,77.513711,44.0433212,36.101083,16.0,21.146953,14.661319,30.97148,34.293746000000006,62.61140819964349,63.137995999999994,36.558181,2244.0,1405.0,0.0,,whiff,"K% 36.1, Contact% 68.2",low,elev_bb,0.95,,8.666666666666666,13.0,6.0,8.586779254050706,12.88016888107606,22.709329567079667,0.9907822216212354,L3 opp K% 22.7,7.980296418071285,0.3,26.54320987654321,26.344827586206897,22.846079380445303,22.846079380445303,R,2066.0,9,season_vs_rhp,0.20531991798195504,10.185185185185185,61.41975308641975,0.3215973531079702,105.80730474016626,0.19683347970100143,9,fangraphs,whiff_prone,recent,1.07,three_true,0.9896314814814815,0.9830333333333333,elevated,1310,933,"700250,671277,671218,663757,682987,806146,641857,669224,676609",Ben Rice; Luis García Jr.; Heliot Ramos; Trent Grisham; Spencer Jones; George Lombard Jr.; Ryan McMahon; Austin Wells; José Caballero,,35.135088904907796,97.2732445520581,FF,elite,True,"K9 13.1, L3 K9 13.0, stuff whiff 35.1%",savant+statcast,0.188,0.282,0.258,0.182,0.27,0.251,False,,6,0.8333333333333334,elite,elite,2.72491259965766,2.378833219212357,,"arsenal K% 25.2 (elite solo, +2.7 vs lg, +2.4 vs opp K%, opp K% vs RHP 22.8; slate #6/30 elite); stuff whiff 35.1% (elite), FF 97.3 mph; pitcher style WHIFF (K% 36.1, Contact% 68.2); stuff ceiling (K9 13.1, L3 K9 13.0, stuff whiff 35.1%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.4 (≥5.5)",1,trust,7.0,56.0,160.0,19.0,7.0,29.0,.212,.753,35.0,3,24,8.0,2,18,9.0,2026-08-16 H: 6.0IP 9K; 2026-05-19 A: 5.0IP 9K; 2025-05-07 A: 6.2IP 9K; 2024-05-25 H: 6.2IP 9K; 2023-08-07 H: 5.1IP 6K,6.387,2.089,4.0,6.0,9.0,0.29,0.156,0.072,,,22,typical,25.22,22,5.549,rate×BF 5.55 vs Exp 6.39 (order-walk + overlays; not pitcher season K% alone),"No book K line — ask why the pitcher can reach the model total (6.4 Exp) via PA matchups + volume, not season K% alone."
4,Eury Pérez,691587,MIA,R,CIN,MIA@CIN,12:40 PM CT,2026-08-16T17:40:00Z,ok,official,5.485788087774294,22,2.4444444444444446,season_avg,starter,25.575733889034687,28.47528379766349,6.208799302002871,6.050849221280821,2.3018160500131217,9,9,1.0,22,,22,3.3942857882752726,1.0028571647176943,9.874285929528066,3.8644137485981487,3.674511927826551,3.727126036747673,3.65,115.62088748019019,93.54545166402535,106.33841521394612,27.176221,73.08488600000001,80.869565,38.5416666,43.75,13.492063400000001,16.838487999999998,13.720317000000001,26.490765,35.448775999999995,64.22163588390501,62.208068000000004,41.732699000000004,1895.0,1217.0,0.0,,whiff,"K% 27.2, Contact% 73.1, FB% 43.8, IFFB% 13.5",clear,,1.0,,7.0,11.34,5.555555555555556,6.660999279830708,10.790818833325748,23.64510089002786,0.9515713256901012,L3 opp K% 23.6,6.5773494903543215,0.3,24.137931034482758,25.93220338983051,24.950592885375492,24.950592885375492,R,2024.0,8,season_vs_rhp,0.19533812049823993,8.96551724137931,64.82758620689656,0.3114332529369264,90.4941863923527,0.18695288442402427,9,fangraphs,neutral,recent,1.0666984193098137,neutral,0.9940103448275862,0.9946758620689655,mild,1124,769,"682829,701398,668709,553993,669911,680574,624431,670770,663647",Elly De La Cruz; Sal Stewart; JJ Bleday; Eugenio Suárez; Michael Toglia; Matt McLain; Jose Trevino; TJ Friedl; Ke'Bryan Hayes,,29.22925413744943,98.2558510638298,FF,strong,True,"L3 K9 11.3, stuff whiff 29.2%",savant+statcast,0.209,0.366,0.296,0.204,0.353,0.288,False,,4,0.9,elite,elite,3.0757338890346873,0.6251410036591949,,"arsenal K% 25.6 (elite solo, +3.1 vs lg, +0.6 vs opp K%, opp K% vs RHP 25.0; slate #4/30 elite); stuff whiff 29.2% (strong), FF 98.3 mph; pitcher style WHIFF (K% 27.2, Contact% 73.1, FB% 43.8, IFFB% 13.5); stuff ceiling (L3 K9 11.3, stuff whiff 29.2%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.2 (≥5.5)",0,trust,4.0,28.0,82.0,6.0,6.0,17.0,.227,.853,34.146341463414636,2,13,6.5,3,20,6.666666666666667,2026-08-16 A: 4.2IP 5K; 2026-04-08 H: 5.0IP 6K; 2025-07-08 A: 5.0IP 8K; 2023-08-07 A: 4.2IP 7K; 2023-05-12 H: 4.2IP 7K,6.209,2.093,4.0,6.0,9.0,0.262,0.138,0.062,,,22,typical,25.58,22,5.627,rate×BF 5.63 vs Exp 6.21 (order-walk + overlays; not pitcher season K% alone),"No book K line — ask why the pitcher can reach the model total (6.2 Exp) via PA matchups + volume, not season K% alone."
5,Drew Anderson,623454,DET,R,CWS,CWS@DET,12:40 PM CT,2026-08-16T17:40:00Z,ok,official,6.610192092485549,28,3.111111111111111,season_start_est,swingman,23.679801927951814,27.580313589136015,6.180805887398344,6.850429218841092,2.131182173515663,9,9,1.0,28,,28,3.406542572228474,1.261682434158694,10.345795960101292,3.576504072009647,3.910186272565448,3.3425285600881085,3.54,98.91120740863113,99.42546625985405,100.40935050087474,26.797386,73.344948,88.387097,47.368421,36.842105200000006,11.4285714,13.989636999999998,12.771284999999999,28.881469,35.723951,64.35726210350585,61.43790799999999,38.262322,1198.0,771.0,0.0,,whiff,"K% 26.8, Contact% 73.3",low,"elev_hr,short_recent_ip",0.96,short_recent_ip,3.0,6.394736842105264,4.222222222222222,2.949945453667679,6.288041624923212,22.881779022753445,0.9833151512225597,L3 opp K% 22.9,4.618351447365265,0.3,25.433526011560694,24.825174825174827,23.037875829754004,23.037875829754004,R,2561.0,9,season_vs_rhp,0.25545736693870386,10.115606936416185,62.138728323699425,0.3344024280180283,114.41169040273695,0.191044302869845,9,fangraphs,whiff_prone,recent,1.0557847995644463,three_true,0.990014161849711,0.9836595375722543,elevated,610,587,"803011,808959,678246,643217,695731,695657,805367,671976,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Andrew Benintendi; Braden Montgomery; Colson Montgomery; Chase Meidroth; Tristan Peters; Drew Romo,,29.43021390374332,95.70269151138717,FF,strong,True,"K9 10.3, stuff whiff 29.4%",savant,0.216,0.355,0.292,0.243,0.401,0.319,False,,12,0.6333333333333333,avg,strong,1.1798019279518144,0.6419260981978105,,"arsenal K% 23.7 (strong solo, +1.2 vs lg, +0.6 vs opp K%, opp K% vs RHP 23.0; slate #12/30 avg); stuff whiff 29.4% (strong), FF 95.7 mph; pitcher style WHIFF (K% 26.8, Contact% 73.3); stuff ceiling (K9 10.3, stuff whiff 29.4%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.2 (≥5.5); also swingman — fade full-outing chalk",0,trust,4.0,5.0,26.0,2.0,3.0,7.0,.292,1.054,19.23076923076923,2,8,4.0,2,1,0.5,2026-08-16 H: 5.0IP 5K; 2026-06-19 H: 1.1IP 3K; 2026-05-31 A: 0.2IP 0K; 2026-05-29 A: 0.2IP 1K,6.181,2.172,3.0,6.0,9.0,0.263,0.143,0.068,,,28,typical,23.68,28,6.63,rate×BF 6.63 vs Exp 6.18 (order-walk + overlays; not pitcher season K% alone),"No book K line — ask why the pitcher can reach the model total (6.2 Exp) via PA matchups + volume, not season K% alone."
6,Lake Bachar,669199,PIT,R,BOS,BOS@PIT,12:35 PM CT,2026-08-16T17:35:00Z,ok,official,5.4746022662068965,22,2.4444444444444446,season_start_est,swingman,24.157379376546274,25.083021632343325,5.824322198295549,4.951963653996994,2.1741641438891643,9,9,1.0,22,,22,3.152284614943229,1.6446702338834238,9.319797992006068,4.11687269805636,4.621154580748691,3.5622030026044476,3.67,97.99538038052758,97.85007516249459,96.11114259189792,25.185184999999997,71.283096,80.794702,38.372093,47.0930232,11.1111111,15.517241,13.079777,28.571429,29.716980999999997,61.4100185528757,59.259259,40.947075,1078.0,662.0,0.0,,whiff,"K% 25.2, Contact% 71.3, FB% 47.1, IFFB% 11.1",medium,"high_hr,short_recent_ip,exit_hr",0.9021,"short_recent_ip,exit_hr",3.0,12.789473684210527,2.111111111111111,3.030898697426762,12.921199710082513,22.270622260423156,1.0102995658089207,L3 opp K% 22.3,7.859825468325513,0.3,19.25287356321839,18.149882903981265,20.772491756947716,20.772491756947716,R,2123.0,9,season_vs_rhp,0.2302039794496691,11.781609195402298,65.51724137931035,0.3211350149761103,101.70987311840017,0.16648121171313404,9,fangraphs,neutral,recent,1.0079049961717406,patient,0.95,0.9582206896551724,elevated,595,482,"686765,678882,677800,668939,702332,655316,680776,678011,657136",Nick Sogard; Ceddanne Rafaela; Wilyer Abreu; Adley Rutschman; Caleb Durbin; Andruw Monasterio; Jarren Duran; Anthony Seigler; Connor Wong,,32.411046347542445,94.60857142857142,FF,elite,True,"L3 K9 12.8, stuff whiff 32.4%",savant+statcast,0.209,0.381,0.297,0.2,0.375,0.289,False,,10,0.7,strong,elite,1.6573793765462739,3.384887619598558,,"arsenal K% 24.2 (elite solo, +1.7 vs lg, +3.4 vs opp K%, opp K% vs RHP 20.8; slate #10/30 strong); stuff whiff 32.4% (elite), FF 94.6 mph; pitcher style WHIFF (K% 25.2, Contact% 71.3, FB% 47.1, IFFB% 11.1); stuff ceiling (L3 K9 12.8, stuff whiff 32.4%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.8 (≥5.5); also swingman — fade full-outing chalk",0,trust,1.0,0.0,3.0,0.0,0.0,0.0,.000,.000,0.0,1,4,4.0,1,0,0.0,2026-08-16 H: 3.0IP 4K; 2025-08-15 A: 1.0IP 0K,5.824,2.052,3.0,6.0,8.0,0.203,0.099,0.041,,,22,typical,24.16,22,5.315,rate×BF 5.31 vs Exp 5.82 (order-walk + overlays; not pitcher season K% alone),"No book K line — ask why the pitcher can reach the model total (5.8 Exp) via PA matchups + volume, not season K% alone."
7,Tarik Skubal,669373,LAD,L,MIL,MIL@LAD,3:10 PM CT,2026-08-16T20:10:00Z,ok,official,5.738127207977208,22,2.4444444444444446,season_avg,starter,22.900591838078668,24.90685457540847,5.5569734634374415,4.927220666309517,2.06105326542708,9,9,1.0,22,,22,1.504643998388615,1.0030959989257435,10.69969065520793,2.6848631611923715,2.7951576401105074,2.76911843248948,3.01,117.67130380345858,105.36017672697552,120.75313576221969,30.548925999999998,69.647059,80.04115200000001,43.2950191,36.3984674,7.368421,15.298507,16.004963,30.645160999999998,39.308855,67.86600496277916,67.54176600000001,42.520174,1612.0,1094.0,0.35,"attack-plate stuff bump +0.35 (elite whiff 30.8%, Strike% 67.9)",whiff,"K% 30.5, Contact% 69.6",clear,,1.0,,6.0,9.169811320754716,5.888888888888889,6.013686622777459,9.190728612169323,22.448791975403832,1.0022811037962431,L3 opp K% 22.4,5.859729990069267,0.3,25.0,19.881305637982194,20.111386138613863,19.881305637982194,L,674.0,7,season_vs_lhp,0.23476256505878096,12.820512820512821,60.57692307692308,0.3385993351789415,114.23591055585354,0.16407520723537006,9,fangraphs,whiff_prone,recent,1.04187076024181,three_true,0.9751371794871795,0.9593153846153846,elevated,392,1219,"661388,800325,694192,641343,683734,596142,663604,687401,680716",William Contreras; Luis Lara; Jackson Chourio; Jake Bauers; Andrew Vaughn; Gary Sánchez; Brandon Lockridge; Joey Ortiz; Jonathan Ornelas,,30.821133993259203,96.71901408450705,FF,elite,True,"K9 10.7, stuff whiff 30.8%",savant+statcast,0.225,0.345,0.27,0.209,0.354,0.266,False,,14,0.5666666666666667,avg,strong,0.40059183807866816,3.0192862000964737,,"arsenal K% 22.9 (strong solo, +0.4 vs lg, +3.0 vs opp K%, opp K% vs LHP 19.9; slate #14/30 avg); stuff whiff 30.8% (elite), FF 96.7 mph; pitcher style WHIFF (K% 30.5, Contact% 69.6); stuff ceiling (K9 10.7, stuff whiff 30.8%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.6 (≥5.5)",0,trust,3.0,24.0,76.0,2.0,0.0,16.0,.219,.538,31.57894736842105,2,15,7.5,1,9,9.0,2026-04-23 H: 6.0IP 5K; 2025-04-14 A: 7.0IP 9K; 2024-06-09 H: 6.2IP 10K,5.557,1.958,3.0,5.0,8.0,0.159,0.071,0.026,,,22,typical,22.9,22,5.038,rate×BF 5.04 vs Exp 5.56 (order-walk + overlays; not pitcher season K% alone),"No book K line — ask why the pitcher can reach the model total (5.6 Exp) via PA matchups + volume, not season K% alone."
8,Jacob Lopez,682052,ATH,L,TEX,TEX@ATH,3:05 PM CT,2026-08-16T20:05:00Z,ok,official,4.15360230718421,19,2.111111111111111,season_start_est,starter,27.86279060202372,29.219797002669274,5.488524203755971,5.5240206750431,2.5076511541821347,9,9,1.0,19,,19,4.829268629674351,1.5365854730782025,8.23170789149037,5.322989802212264,5.1928395882878355,4.982766630749928,3.42,96.37880360202607,101.43273216648323,97.62924959068192,20.16129,78.023599,83.004926,32.1138211,51.6260162,14.9606299,22.8,9.893758,26.029215999999998,30.459127000000002,61.221779548472774,60.483871,40.664452000000004,1506.0,922.0,0.0,,fly_popup,"FB% 51.6, IFFB% 15.0",high,"high_bb,high_hr,high_xfip,exit_hr,exit_xfip_bb",0.84681,"exit_hr,exit_xfip_bb",7.333333333333333,11.423076923076923,5.777777777777778,7.519479682231458,11.71303565886054,21.943007624569457,1.0253835930315625,L3 opp K% 21.9,5.405699104086007,0.3,24.912280701754387,24.42528735632184,23.69455362156092,24.42528735632184,L,696.0,8,season_vs_lhp,0.20383938126361528,9.12280701754386,64.56140350877193,0.31348083800510923,101.43251866198614,0.16621648879583667,9,fangraphs,neutral,recent,1.061453040346528,neutral,0.9925947368421053,0.9934175438596491,mild,410,1095,"694671,677649,607043,669394,679822,683227,553869,642851,694497",Wyatt Langford; Ezequiel Duran; Brandon Nimmo; Jake Burger; Justin Foscue; Cody Freeman; Elias Díaz; Austin Wynns; Evan Carter,,24.335348715676588,90.5314563106796,FF,avg,True,L3 K9 11.4,savant+statcast,0.209,0.324,0.287,0.263,0.442,0.35,False,,2,0.9666666666666667,elite,elite,5.362790602023718,3.4375032457018797,,"arsenal K% 27.9 (elite solo, +5.4 vs lg, +3.4 vs opp K%, opp K% vs LHP 24.4; slate #2/30 elite); stuff whiff 24.3% (avg), FF 90.5 mph; pitcher style FLY/popup (FB% 51.6, IFFB% 15.0); stuff ceiling (L3 K9 11.4)",2,,5.0,20.0,77.0,16.0,2.0,15.0,.259,.852,25.974025974025974,2,9,4.5,3,11,3.6666666666666665,2026-04-26 A: 1.0IP 1K; 2026-04-16 H: 5.0IP 5K; 2025-07-21 A: 5.0IP 6K; 2025-04-29 A: 2.2IP 4K; 2025-04-22 H: 1.2IP 4K,5.489,1.936,3.0,5.0,8.0,0.149,0.064,0.023,,,19,typical,27.86,19,5.294,rate×BF 5.29 vs Exp 5.49 (order-walk + overlays; not pitcher season K% alone),"No book K line — ask why the pitcher can reach the model total (5.5 Exp) via PA matchups + volume, not season K% alone."
9,Patrick Sandoval,663776,BOS,L,PIT,BOS@PIT,12:35 PM CT,2026-08-16T17:35:00Z,ok,official,4.581789039812646,22,2.4444444444444446,season_avg,starter,24.097974553540034,29.57243098101505,5.418105557309533,5.781987003486857,2.1688177098186032,9,9,1.0,22,,22,3.9,0.9,8.7,4.319705676287413,3.849750010172526,4.4257497821053775,4.59,103.19467213114753,95.08532786885247,100.44143442622952,21.323529,78.07017499999999,87.5,35.164835100000005,38.4615384,22.8571428,16.129032,10.204082,26.122448999999996,30.107527,62.6530612244898,56.617647000000005,43.061223999999996,490.0,307.0,0.0,,balanced,,medium,"elev_bb,elev_xfip",0.95,,5.0,9.0,5.0,4.9860969261793855,8.974974467122895,22.562738283189276,0.9972193852358772,L3 opp K% 22.6,4.569048849562447,0.3,28.524590163934427,26.294277929155314,24.352331606217618,26.294277929155314,L,734.0,8,season_vs_lhp,0.24414435253809266,9.180327868852459,60.65573770491803,0.32897664680733174,105.19616161383242,0.16535850052008547,9,fangraphs,whiff_prone,recent,1.07,neutral,0.9920770491803279,0.9929573770491803,mild,135,355,"669707,699013,668804,664040,804668,663968,694377,695257,680779",Jared Triolo; Esmerlyn Valdez; Bryan Reynolds; Brandon Lowe; Rafael Flores Jr.; Jake Mangum; Nick Yorke; Billy Cook; Henry Davis,statcast_fallback,25.78766509739129,93.70727272727274,FF,avg,False,,statcast,0.277,0.399,0.329,0.319,0.454,0.368,False,,11,0.6666666666666666,strong,elite,1.597974553540034,-2.1963033756152797,,"arsenal K% 24.1 (elite solo, +1.6 vs lg, -2.2 vs opp K%, opp K% vs LHP 26.3; slate #11/30 strong); stuff whiff 25.8% (avg), FF 93.7 mph",0,,1.0,7.0,25.0,1.0,0.0,3.0,.125,.327,28.0,0,0,,2,13,6.5,2026-08-16 A: 4.0IP 6K; 2024-05-07 A: 7.0IP 7K,5.418,2.002,3.0,5.0,8.0,0.149,0.067,0.025,,,22,typical,24.1,22,5.302,rate×BF 5.30 vs Exp 5.42 (order-walk + overlays; not pitcher season K% alone),"No book K line — ask why the pitcher can reach the model total (5.4 Exp) via PA matchups + volume, not season K% alone."
10,Bryan Woo,693433,SEA,R,HOU,SEA@HOU,6:20 PM CT,2026-08-16T23:20:00Z,ok,prior:2026-08-15,5.753623188405798,24,2.6666666666666665,season_avg,starter,21.51091490342792,23.00076178347409,5.198488807796238,4.826026803952538,1.9359823413085129,9,9,1.0,24,,24,1.9042821890605548,0.8841310163495433,8.9773303198569,3.658792150246775,3.135980070979764,3.5763512219473617,3.6,108.81876349362118,108.33702649656527,113.4455544651619,24.399261,78.453039,87.761194,37.433155,41.9786096,13.3757961,15.466667000000001,11.448141,25.342466,36.205396,67.27005870841488,68.57670999999999,43.759178,2044.0,1375.0,0.0,,fly_popup,"FB% 42.0, IFFB% 13.4",clear,,1.0,,6.0,9.529411764705882,5.666666666666667,5.97586555505054,9.491080587433212,22.590869683455963,0.9959775925084234,L3 opp K% 22.6,6.067566816764872,0.3,19.113573407202217,18.79432624113475,20.61096797938903,20.61096797938903,R,2717.0,9,season_vs_rhp,0.2367999920822027,8.86426592797784,70.08310249307479,0.33561143804380084,116.10686341656587,0.18691741229862477,9,fangraphs,contact_heavy,recent,0.963467243325361,neutral,0.9949216066481994,1.0,neutral,1268,775,"665161,670541,670623,662139,514888,572233,666211,701358,543877",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Daulton Varsho; Jose Altuve; Christian Walker; Taylor Trammell; Cam Smith; Christian Vázquez,,24.5498084067043,95.9547520661157,FF,avg,False,,savant+statcast,0.24,0.385,0.294,0.235,0.366,0.284,False,,19,0.4,avg,avg,-0.9890850965720794,0.8999469240388898,,"arsenal K% 21.5 (avg solo, -1.0 vs lg, +0.9 vs opp K%, opp K% vs RHP 20.6; slate #19/30 avg); stuff whiff 24.5% (avg), FF 96.0 mph; pitcher style FLY/popup (FB% 42.0, IFFB% 13.4)",2,,6.0,36.0,136.0,5.0,3.0,28.0,.215,.581,26.470588235294116,2,11,5.5,4,25,6.25,2026-05-12 A: 6.0IP 9K; 2025-09-19 A: 5.0IP 7K; 2025-07-20 H: 6.0IP 6K; 2025-05-24 A: 6.0IP 5K; 2024-07-21 H: 5.2IP 5K; 2023-07-08 A: 6.0IP 4K,5.198,1.996,3.0,5.0,8.0,0.126,0.055,0.021,,,24,typical,21.51,24,5.163,rate×BF 5.16 vs Exp 5.20 (order-walk + overlays; not pitcher season K% alone),"No book K line — ask why the pitcher can reach the model total (5.2 Exp) via PA matchups + volume, not season K% alone."
